name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
CardioDx,Technology,268990356,operating,USA,CA,Palo Alto,9,"Acadia Woods Partners:148509000.0|Alberta Investment Management:35000000|Artiman Ventures:148509000.0|Asset Management Ventures (AMV):209990348.0|Bright Capital:148509000.0|DAG Ventures:152500000.0|Duff, Ackerman and Goodrich:30509000|GE Capital:148509000.0|GE Ventures:34500000|Intel Capital:183009000.0|JPMorgan Partners (JPMP):60000000|J.P. Morgan Securities Inc.:30509000|JP Morgan Chase & Co.:58000000|Kleiner Perkins Caufield & Byers:208007000.0|Longitude Capital:154507000.0|Mohr Davidow Ventures:202009000.0|Pappas Ventures:131007000.0|Temasek Holdings:30509000|Texas Pacific Group:19000000|TPG Biotech:60000000|TPG Growth:65009000.0",21,-,-,-,-,-,0,-,Santa Clara,2004,32.794176:-96.765503,20,US,1567267506,77,37.44,-122.16,71.01,3.36
Apollo Endosurgery,Technology,267827392,operating,USA,TX,Austin,8,"Athyrium Capital Management, LP:50000000|East West Bank:50000000|H.I.G. Capital:11500000|MidCap Financial:50000000|Oxford Finance Corporation:50000000|PTV Healthcare Capital:11500000|UT Horizon Fund:108327392.0",7,-,-,-,-,-,0,-,Travis,2006,42.782631:-112.854229,75,US,1567267502,62,30.27,-97.74,89.01,5.82
TriVascular,Health,266950270,ipo,USA,CA,Santa Rosa,7,Deerfield Capital Management:40000000|Delphi Ventures:255000000.0|Kaiser Permanente Ventures:100000000.0|Kearny Venture Partners:255000000.0|MPM Capital:255000000.0|New Enterprise Associates:255000000.0|Permal Asset Management:40000000|Pinnacle Ventures:120000000.0|Redmile Group:100000000.0|Rock Springs Capital:40000000,10,-,-,-,-,-,0,-,Sonoma,1998,37.727239:-123.032229,1,US,1567267677,82,38.44,-122.71,73,1.88
LegalZoom,Services,266000000,operating,USA,CA,Glendale,3,IVP:66000000|Kleiner Perkins Caufield & Byers:66000000|Permira:200000000,3,-,-,-,-,-,0,-,Los Angeles,1999,37.296867:-121.819306,1,US,1567267602,69,34.14,-118.25,78.01,3.58
ViewRay,Technology,265692385,operating,USA,OH,Cleveland,12,Aisling Capital:171700000.0|CRG:50000000|F-Prime Capital Partners:120000000.0|Fidelity Biosciences:25000000|Fidelity Investments:26700000|Hercules Technology Growth Capital:30000000|Kearny Venture Partners:171700000.0|Mark Tompkins Montrose Capital:26700000|OrbiMed Advisors:171700000.0|Siemens Venture Capital:90000000.0|Xeraya Capital:26700000,11,-,-,-,-,-,0,-,Cuyahoga,2004,38.886765:-77.445004,75,US,1567267702,60,41.51,-81.69,72,10.29
LightSquared,Mobile,265000000,operating,USA,VA,Reston,1,Harbinger Capital Partners:265000000|Spectrum Assets:265000000,2,-,-,-,-,-,0,-,Fairfax,2010,37.531399:-77.476009,40,US,1567267812,45,38.96,-77.36,86,8.05
Tintri,Software,260000000,operating,USA,CA,Mountain View,6,Insight Venture Partners:200000000.0|Lightspeed Venture Partners:260000000.0|Menlo Ventures:225000000.0|New Enterprise Associates:260000000.0|Silver Lake Kraftwerk:125000000,5,-,-,-,-,-,0,-,Santa Clara,2008,26.357498:-81.786929,1,US,1567267588,82,37.39,-122.08,71.01,2.44
MuleSoft,Software,259000000,operating,USA,CA,San Francisco,7,Adage Capital Management:128000000|Bay Partners:227500000.0|Brookside Capital:128000000|Capital Ventures:128000000|Cisco:50500000|Cisco Investments:128000000|HWVP:259000000.0|Lightspeed Venture Partners:255000000.0|Meritech Capital Partners:178500000.0|Morgenthaler Ventures:259000000.0|New Enterprise Associates:215500000.0|Salesforce Ventures:215500000.0|Sands Capital Ventures:128000000|Sapphire Ventures:227500000.0|ServiceNow:128000000,15,-,-,-,-,-,0,-,San Francisco,2006,-1,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Chimerix,Technology,256400000,ipo,USA,NC,Durham,7,Alta Partners:84200000.0|Asset Management Ventures (AMV):95200000.0|Canaan Partners:84200000.0|Frazier Healthcare Partners:68100000.0|Frazier Technology Ventures:11000000|Morningside Group:45000000|National Institutes of Health:36100000|New Leaf Venture Partners:45000000|Pappas Ventures:45000000|Sanderling Ventures:98300000.0,10,-,-,-,-,-,0,-,Durham,2002,34.019394:-118.410825,1,US,1567267715,48,36,-78.9,89.01,3.36
Pacific Biosciences,Technology,255220000,ipo,USA,CA,Menlo Park,5,AllianceBernstein:177000000.0|Alloy Ventures:234720000.0|DAG Ventures:177000000.0|Deerfield Capital Management:177000000.0|Gen-Probe:109000000|Intel Capital:177000000.0|Kleiner Perkins Caufield & Byers:234720000.0|Maverick Capital:227000000.0|Mohr Davidow Ventures:234720000.0|Monsanto:68000000|Morgan Stanley:177000000.0|Ontario Teachers' Pension Plan:68000000|Sutter Hill Ventures:177000000.0|T. Rowe Price:68000000|Wellcome Trust:68000000,15,-,-,-,-,-,0,-,San Mateo,2004,39.761849:-104.880625,20,US,1567267772,77,37.45,-122.18,71.01,3.36
Trulia,Marketing,255100000,acquired,USA,CA,San Francisco,5,"Accel:30700000.0|Deep Fork Capital:15000000|Great Oaks Venture Capital:2100000|Sarofim Fayez and Co.:32800000.0|Sequoia Capital:25000000.0|Thorner Ventures:5700000|Andrew Boszhardt, Jr.:2100000|Kevin Hartz:2100000",8,Zillow,Business Services|Marketplaces|Real Estate,USA,WA,Seattle,3500000000,USD,San Francisco,2004,34.023413:-118.481666,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Acacia Research,Services,255100000,ipo,USA,CA,Newport Beach,3,Apex Capital:19600000,1,-,-,-,-,-,0,-,Orange,1993,36.1718:-86.785002,90,US,1567267786,78,33.62,-117.93,75,5.82
Medallia,Software,255000000,operating,USA,CA,Palo Alto,4,Sequoia Capital:235000000.0,1,-,-,-,-,-,0,-,Santa Clara,2001,35.993029:-86.77431,20,US,1567267506,77,37.44,-122.16,71.01,3.36
JustFab,Finance,254000000,operating,USA,CA,El Segundo,6,Intelligent Beauty:116000000.0|KEC Ventures:85000000|Matrix Partners:234000000.0|Passport Capital:85000000|Rho Capital Partners:76000000|Rho Ventures:40000000|Shining Capital:125000000.0|Technology Crossover Ventures:234000000.0|Trinity Capital Investment:5000000,9,-,-,-,-,-,0,-,Los Angeles,2010,39.646876:-104.994129,1,US,1567267719,69,33.91,-118.38,77,3.58
Aerie Pharmaceuticals,Technology,253614965,ipo,USA,NJ,Bedminster,5,Alta Partners:41364965|Clarus Ventures:41364965|Deerfield Capital Management:125000000|Osage University Partners:41364965|Sofinnova Ventures:41364965|TPG Biotech:41364965,6,-,-,-,-,-,0,-,Somerset,2005,37.364613:-121.967934,1,US,1567267680,47,40.43,-75.18,81,9.17
HelioVolt,Technology,253000000,operating,USA,TX,Austin,6,Abengoa Solar:101000000|Masdar Clean Tech Fund:101000000|Morgan Stanley:101000000|New Enterprise Associates:194000000.0|Noventi Ventures:101000000|Paladin Capital Group:101000000|Passport Capital:101000000|Sequel Venture Partners:101000000|SK Group:85000000,9,-,-,-,-,-,0,-,Travis,2001,33.310209:-111.742191,75,US,1567267502,62,30.27,-97.74,89.01,5.82
Chegg,Manufacturing,252303692,ipo,USA,CA,Santa Clara,10,Ace Limited:75000000|Employee Stock Option Fund (ESO Fund):2400000|Felicis Ventures:4700000|FLOODGATE:2200000|Foundation Capital:50000000.0|Gabriel Venture Partners:27200000.0|GSV Capital:6003690|Insight Venture Partners:109400002.0|Kleiner Perkins Caufield & Byers:52400000.0|Lucas Venture Group:31003690.0|Manatt Venture Fund:31003690.0|Pinnacle Ventures:87000002.0|Primera Capital:32100000.0|TriplePoint Capital:30000000,14,-,-,-,-,-,0,-,Santa Clara,2007,37.769857:-122.22564,20,US,1567267529,82,37.35,-121.96,72,4.7
TESARO,Technology,252000000,ipo,USA,MA,Waltham,3,InterWest Partners:101000000|Kleiner Perkins Caufield & Byers:101000000|New Enterprise Associates:161000000.0|Pappas Ventures:101000000|T. Rowe Price:101000000,5,-,-,-,-,-,0,-,Middlesex,2010,-1,40,US,1567267852,44,42.38,-71.24,78.01,9.17
Oportun,Manufacturing,250300000,operating,USA,CA,Menlo Park,9,BlackRock:30000000|Center for Financial Services Innovation (CFSI):11000000|CRV:77400000.0|DAG Ventures:48000000.0|Fidelity Management & Research:90000000|Great Oaks Venture Capital:1300000|Greylock Partners:101000000.0|IVP:136600000.0|Madrone Capital Partners:129000000.0|Peterson Ventures:1300000|SVB Capital:20000000|TPG Capital:46600000|Adam Roddriguez:20000000|Dave Strohm:5000000|Lars Dalgaard:5000000|Mark Leslie:11000000|Paul Sallaberry:11000000|Pedro Urquidi:1300000|Saar Gur:11000000|Tom Steyer:1300000,20,-,-,-,-,-,0,-,San Mateo,2005,43.760633:-91.57065,20,US,1567267772,77,37.45,-122.18,71.01,3.36
Relativity Media,Entertainment,250000000,operating,USA,KY,California,2,Peak Capital:250000000,1,-,-,-,-,-,0,-,Campbell,2004,40.664274:-73.9385,90,US,1567267694,100,38.63,-92.57,68,7.31
Liquidnet,Management,250000000,operating,USA,NY,New York,1,Summit Partners:250000000|Technology Crossover Ventures:250000000,2,-,-,-,-,-,0,-,New York,2001,39.994814:-105.099676,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Red Ventures,Marketing,250000000,operating,USA,SC,Fort Mill,3,Silver Lake Partners:250000000,1,-,-,-,-,-,0,-,Lancaster,2000,34.07923:-118.402437,20,US,1567267466,51,35.01,-80.95,87.01,4.7
P2 Energy Solutions,Software,250000000,operating,USA,CO,Denver,2,Vista Equity Partners:250000000,1,-,-,-,-,-,0,-,Jefferson,1979,43.169927:-77.616891,1,US,1567267622,64,39.74,-104.98,77,3.2
Campaign Monitor,Software,250000000,operating,USA,CA,San Francisco,1,Insight Venture Partners:250000000,1,-,-,-,-,-,0,-,San Francisco,2004,37.385784:-122.026323,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Coherus Biosciences,Technology,249271980,ipo,USA,CA,Redwood City,4,F-Prime Capital Partners:55000000|Helix Ventures:46271280|KKR (Kohlberg Kravis Roberts & Co.):55000000|Lilly Ventures:55000000|RA Capital Management:55000000|Rock Springs Capital:55000000|Sofinnova Ventures:55000000|Venrock:55000000|Viva Capital Advisors:55000000|Vivo Capital:55000000,10,-,-,-,-,-,0,-,San Mateo,2010,-1,20,US,1567267812,77,37.49,-122.23,71.01,3.36
Portola Pharmaceuticals,Technology,249099998,ipo,USA,CA,South San Francisco,5,Abingworth:151099999.0|Adage Capital Management:60099999|Advanced Technology Ventures:130099999.0|AllianceBernstein:130099999.0|Alta Partners:130099999.0|Apothecary Capital:60099999|Brookside Capital:130099999.0|D.E. Shaw & Co.:60099999|Eastern Capital:89000000|Frazier Healthcare Partners:151099999.0|Goldman Sachs:130099999.0|IBT Management Corporation:60099999|Janus Capital Group:60099999|MPM Capital:151099999.0|Ontario Teachers' Pension Plan:70000000|Pac-Link:60099999|Prospect Street Ventures:70000000|Prospect Venture Partners:81099999.0|Sutter Hill Ventures:151099999.0|T. Rowe Price:130099999.0|Teachers' Private Capital:60099999|Temasek Holdings:89000000,22,-,-,-,-,-,0,-,San Mateo,2003,37.727239:-123.032229,20,US,1567267834,77,37.65,-122.41,68,3.36
Adknowledge,Marketing,248000000,operating,USA,MO,Kansas City,2,Bank of America:200000000|JMI Equity:200000000|Nokia Growth Partners:200000000|Technology Crossover Ventures:48000000,4,-,-,-,-,-,0,-,Jackson,2004,37.727239:-123.032229,75,US,1567267709,88,39.08,-94.56,71.01,4.7
Hortonworks,Software,248000000,ipo,USA,CA,Santa Clara,5,Accel:50000000|Texas Atlantic Capital:50000000|Benchmark:198000000.0|BlackRock:100000000|Dragoneer Investment Group:175000000.0|Hewlett Packard Ventures:50000000|Index Ventures:175000000.0|Passport Capital:100000000|Tenaya Capital:175000000.0|Vertex Ventures:50000000|Yahoo!:198000000.0,11,-,-,-,-,-,0,-,Santa Clara,2011,40.664274:-73.9385,20,US,1567267529,82,37.35,-121.96,72,4.7
SquareTrade,Software,247700000,operating,USA,CA,San Francisco,4,"Argus Capital:9300000.0|Bain Capital:238000000|Bain Capital Ventures:238000000|Chase Capital Partners:9000000|Clayton, Dubilier & Rice:300000|Draper Richards:9400000.0|Global Investment Partners:9300000.0|Staenberg Venture Partners:9000000|Weston Presidio Capital:9000000|Thomas Layton:9300000.0",10,-,-,-,-,-,0,-,San Francisco,1999,37.727239:-123.032229,20,US,1567267822,77,37.78,-122.42,69.01,3.36
EndoGastric Solutions,Health,247545839,operating,USA,CA,San Mateo,17,Advanced Technology Ventures:157749914.0|Canaan Partners:135999914.0|Chicago Growth Partners:129859800.0|CRG:50000000|De Novo Ventures:30000000|DeNovo Ventures:109859800.0|Flare Capital Partners:102749914.0|Foundation Medical Partners:50000000|MPM Capital:51750000.0|Oakwood Medical Investors:76109800.0|Radius Ventures:135999914.0,11,-,-,-,-,-,0,-,San Mateo,2002,34.070648:-84.275907,20,US,1567267823,77,37.54,-122.31,70,3.36
Pearl Therapeutics,Technology,247500100,acquired,USA,CA,Redwood City,7,5AM Ventures:247500100.0|Clarus Ventures:178500100.0|Nektar Therapeutics:18000000|New Leaf Venture Partners:247500100.0|Vatera Healthcare Partners:199000100.0,5,AstraZeneca,Biotechnology|Health and Wellness|Medical|Pharmaceuticals,GBR,H9,London,1150000000,USD,San Mateo,2006,42.331876:-71.208402,20,US,1567267812,77,37.49,-122.23,71.01,3.36
AppDirect,Software,245750000,operating,USA,CA,San Francisco,6,Foundry Group:175000000.0|iNovia Capital:195750000.0|JP Morgan Chase & Co.:140000000|Mithril Capital Management:225000000.0|StarVest Partners:234000000.0|Stingray Digital:151750000.0,6,-,-,-,-,-,0,-,San Francisco,2009,42.375967:-71.118275,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Esperion Therapeutics,Technology,245650000,ipo,USA,MI,Plymouth,3,Aisling Capital:55750000.0|Alta Partners:55750000.0|Arboretum Ventures:55750000.0|Asset Management Ventures (AMV):33000000|Domain Associates:55750000.0|Longitude Capital:33000000,6,-,-,-,-,-,0,-,Wayne,2008,30.307182:-97.755996,90,US,1567267801,63,45.01,-93.47,66.99,11.41
Sungevity,Technology,245500000,operating,USA,CA,Oakland,8,Brightpath Capital Partners:237000000.0|CCM Energy:85000000.0|Craton Equity Partners:140000000.0|Eastern Sun Capital Partners:140000000.0|Firelake Capital Management:27000000.0|GE Ventures:85000000.0|Greener Capital:35500000.0|impact investment fund:125000000|Isolventures:2500000|Jetstream Capital:70000000|Solon:2500000|Vision Ridge Partners:210000000.0,12,-,-,-,-,-,0,-,Alameda,2008,40.664274:-73.9385,20,US,1567267570,77,37.8,-122.27,69.01,3.36
Kerasotes Theatres,Entertainment,245000000,operating,USA,IL,Chicago,2,Deutsche Bank:170000000|Providence Equity Partners:75000000,2,-,-,-,-,-,0,-,Cook,1909,32.8153:-117.134993,40,US,1567267448,52,41.88,-87.62,72,14.99
Lexicon Pharmaceuticals,Technology,244702780,ipo,USA,TX,Houston,4,Invus:75040000,1,-,-,-,-,-,0,-,Harris,1995,42.583883:-83.145533,20,US,1567267722,62,29.76,-95.37,90,3.69
Mode Media (fka Glam Media),Manufacturing,244600000,operating,USA,CA,Brisbane,11,"Accel:93500000.0|Aeris Capital:50000000|DAG Ventures:83500000.0|Draper Fisher Jurvetson (DFJ):93500000.0|GLG Partners:65000000|Hercules Technology Growth Capital:20000000|Hubert Burda Media:170000000.0|Information Capital LLC:84600000.0|BDCA Venture, Inc.:25000000|Mizuho Venture Capital:10000000|Silicon Valley Bank:20000000|Walden Venture Capital:93500000.0",12,-,-,-,-,-,0,-,San Mateo,2003,37.727239:-123.032229,20,US,1567267691,77,37.68,-122.4,68,3.36
Harvest Power,Technology,244514000,operating,USA,MA,Waltham,12,"Cycle Capital:6300000|DAG Ventures:116300000.0|Generation Investment Management:208000000.0|Industry Ventures:55000000.0|BDCA Venture, Inc.:6300000|Kleiner Perkins Caufield & Byers:116300000.0|Munich Venture Partners:6300000|TriplePoint Capital:6300000|True North Venture Partners:150000000.0|Waste Management:6300000|David Blood:6300000",11,-,-,-,-,-,0,-,Middlesex,2008,40.664274:-73.9385,40,US,1567267852,44,42.38,-71.24,78.01,9.17
Kabam,Entertainment,244500000,operating,USA,CA,San Francisco,6,Alibaba:120000000|Betfair:5500000|Canaan Partners:124500000.0|Google Ventures:85000000|Intel Capital:115000000.0|Performance Equity Management:85000000|Pinnacle Ventures:85000000|Redpoint Ventures:115000000.0|SK Telecom Ventures:85000000,9,-,-,-,-,-,0,-,San Francisco,2006,47.620499:-122.350876,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Small Bone Innovations,Health,244000000,acquired,USA,PA,Morrisville,6,3i Group:144000000.0|Axiom Ventures:36000000|Goldman Sachs:108000000|Khazanah Nasional Berhad:15000000|Malaysian Life Sciences Capital Fund:108000000|NGN Capital:159000000.0|Trevi Health Ventures:144000000.0|Viscogliosi Brothers:51000000.0,8,Stryker Corporation,Biotechnology,USA,MI,Kalamazoo,375000000,USD,Bucks,2009,37.727239:-123.032229,1,US,1567267780,61,35.82,-78.83,89.01,2.48
Solarflare Communications,Software,242948825,operating,USA,CA,Irvine,19,Acacia Capital Partners:32000000|Accel:26000000|Amadeus Capital Partners:26000000|Anthem Venture Partners:80000000.0|Foundation Capital:74000000.0|Intel Capital:48000000|Miramar Venture Partners:48000000|Oak Investment Partners:106000000.0|Windward Ventures:48000000,9,-,-,-,-,-,0,-,Orange,2005,-1,90,US,1567267663,78,33.69,-117.83,75.99,5.82
Zuora,Finance,242500000,operating,USA,CA,Foster City,6,Benchmark:242500000.0|BlackRock:115000000|Greylock Partners:201000000.0|Index Ventures:201000000.0|Lehman Brothers:15000000|Next World Capital:165000000.0|Northgate Capital:165000000.0|Passport Capital:115000000|PremjiInvest:115000000|Redpoint Ventures:221000000.0|Shasta Ventures:236000000.0|Tenaya Capital:106000000.0|Vulcan Capital:50000000|Webb Investment Network:20000000|Wellington Management:115000000|Dave Duffield:36000000|Marc Benioff:127500000.0,17,-,-,-,-,-,0,-,San Mateo,2007,37.727239:-123.032229,20,US,1567267728,77,37.56,-122.27,70,3.36
Millennial Media,Marketing,240245382,acquired,USA,MD,Baltimore,5,Acta Wireless:6300000|Bessemer Venture Partners:64800000.0|CRV:58500000.0|Columbia Capital:64800000.0|New Enterprise Associates:43500000.0,5,AOL,Advertising Platforms|Content Creators|Digital Media|News,USA,NY,New York,238000000,USD,Baltimore City,2006,37.727239:-123.032229,1,US,1567267458,45,39.29,-76.61,84.99,6.93
Markley Group,Software,240000000,operating,USA,MA,Boston,1,TD Bank:240000000,1,-,-,-,-,-,0,-,Suffolk,2004,37.56031:-122.3106,2,US,1567267440,46,42.36,-71.06,78.01,9.17
Vubiquity,Entertainment,237179999,operating,USA,VA,Reston,4,The Carlyle Group:100000000|Columbia Capital:42000000.0|Novak Biddle Venture Partners:42000000.0|Pioneer Ventures Associates:25000000|QED Investors:95179999|Valhalla Partners:25000000,6,-,-,-,-,-,0,-,Fairfax,2009,37.858369:-122.491844,40,US,1567267812,45,38.96,-77.36,86,8.05
Hotchalk,Education,235000000,operating,USA,CA,Campbell,2,Bertelsmann:230000000,1,-,-,-,-,-,0,-,Santa Clara,2004,40.664274:-73.9385,20,US,1567267410,82,37.29,-121.95,71.01,4.7
Freedom Financial Network,Finance,235000000,operating,USA,CA,San Mateo,2,Aequitas Capital:110000000|Vulcan Capital:125000000,2,-,-,-,-,-,0,-,San Mateo,2002,34.070648:-84.275907,20,US,1567267823,77,37.54,-122.31,70,3.36
Twilio,Software,233700000,operating,USA,CA,San Francisco,6,500 Startups:12000000|Altimeter Capital:130000000|Amazon:130000000|Arrowpoint Partners:130000000|Bessemer Venture Partners:103700000.0|Draper Fisher Jurvetson (DFJ):200000000.0|FF Angel LLC:1000000|Fidelity Investments:130000000|Founders Fund:3700000|Infocomm Investments:17000000|K9 Ventures:16700000.0|Lowercase Capital:3700000|Redpoint Ventures:70000000|Salesforce Ventures:130000000|SV Angel:12000000|T. Rowe Price:130000000|Union Square Ventures:32700000.0|Chris Sacca:1000000|Dave McClure:1000000|David Cohen:4700000.0|Jeff Fluhr:1000000|Manu Kumar:4700000.0|Mitchell Kapor:4700000.0,23,-,-,-,-,-,0,-,San Francisco,2008,40.664274:-73.9385,20,US,1567267822,77,37.78,-122.42,69.01,3.36
CardioMEMS,Health,232601872,acquired,USA,GA,Atlanta,10,Aperture Venture Partners:22100000|Arboretum Ventures:36100000.0|Arcapita Ventures:55100000.0|Boston Millennia Partners:91700000.0|Deerfield Capital Management:22100000|Easton Capital:44700000.0|Flare Capital Partners:36100000.0|Foundation Medical Partners:22600000|Guidant:14000000|Johnson & Johnson:22600000|Johnson & Johnson Development Corporation:14000000|Medtronic:44700000.0|Rockport Venture Partners:22100000|St. Jude Medical:60000000|Vision Capital:22100000,15,St. Jude Medical,Medical Devices,USA,MN,Saint Paul,455000000,USD,Fulton,2001,41.478138:-81.679486,1,US,1567267668,51,33.75,-84.39,86,3.36
Suniva,Technology,230900000,operating,USA,GA,Norcross,6,Advanced Equities:75000000|Apex Venture Partners:75000000|H.I.G. Capital:75000000|New Enterprise Associates:80000000.0|Trinity Capital Investment:2000000|Warburg Pincus:75000000,6,-,-,-,-,-,0,-,Gwinnett,2006,37.515274:-122.213672,1,US,1567267630,51,33.94,-84.21,86,3.36
Okta,Software,230000000,operating,USA,CA,San Francisco,8,Altimeter Capital:150000000.0|Andreessen Horowitz:228500000.0|FLOODGATE:26500000.0|Glynn Capital Management:75000000|Greylock Partners:218500000.0|Janus Capital Group:75000000|Khosla Ventures:218500000.0|Sequoia Capital:202000000.0|SV Angel:10000000|Webb Investment Network:16500000|Avid Larizadeh:10000000|Dharmesh Shah:10000000|Ed Roberts:16500000|Jacques & Sandra Kerrest:16500000|Maynard Webb:10000000|Stephen Marcus:10000000|Tom Berson:16500000,17,-,-,-,-,-,0,-,San Francisco,2009,34.00582:-118.396781,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Coda Automotive,Technology,229000000,operating,USA,CA,Los Angeles,5,Aeris Capital:134000000.0|Angeleno Group:76000000|Countyline:58000000|EDB Investments:58000000|Harbinger Ventures:76000000|Riverstone Holdings:76000000|Les Wexner:58000000,7,-,-,-,-,-,0,-,Los Angeles,2009,40.664274:-73.9385,1,US,1567267506,69,34.05,-118.24,77,3.58
23andMe,Technology,227049900,operating,USA,CA,Mountain View,8,Casdin Capital:115000000|Fidelity Management & Research:115000000|Genentech:9000000|Google:21600000.0|Google Ventures:79949900.0|Johnson & Johnson Development Corporation:31000000.0|Mohr Davidow Ventures:9000000|MPM Capital:57949900|National Institutes of Health:1400000|New Enterprise Associates:88949900.0|Stephens Investment Management:9000000|WuXi Healthcare Ventures:115000000|Xfund:115000000|Anne Wojcicki:57949900|Eric Lederman:100000|Sergey Brin:70549900.0|Yuri Milner:57949900,17,-,-,-,-,-,0,-,Santa Clara,2006,37.399364:-122.079517,1,US,1567267588,82,37.39,-122.08,71.01,2.44
Dicerna Pharmaceuticals,Technology,225450628,ipo,USA,MA,Watertown,5,Abingworth:68400000.0|Brookside Capital:60000000|Deerfield Partners:60000000|Domain Associates:60000000|HealthCare Ventures:4000000|Kyowa Hakko Kirin:124000000|Omega Funds:60000000|Oxford Bioscience Partners:68400000.0|RA Capital Management:60000000|Skyline Ventures:68400000.0|SR One:64000000.0,11,-,-,-,-,-,0,-,Middlesex,2007,40.439753:-79.976592,90,US,1567267853,82,44.9,-97.12,62.6,5.82
AvidXchange,Finance,225000000,operating,USA,NC,Charlotte,1,Bain Capital Ventures:225000000|Foundry Group:225000000|Keybank:225000000|Nyca Partners:225000000|Square 1 Bank:225000000|TPG:225000000|Ron Suber:225000000,7,-,-,-,-,-,0,-,Mecklenburg,2000,-1,20,US,1567267418,51,35.23,-80.84,87.01,4.7
One Kings Lane,Finance,225000000,operating,USA,CA,San Francisco,6,First Round:23000000|Greylock Partners:225000000.0|IVP:162000000.0|Kleiner Perkins Caufield & Byers:225000000.0|Mousse Partners:112000000|Scripps Networks Interactive:112000000|Tiger Global Management:202000000.0|TriplePoint Capital:23000000|Marissa Mayer:23000000|Reid Hoffman:23000000,10,-,-,-,-,-,0,-,San Francisco,2009,32.8153:-117.134993,20,US,1567267822,77,37.78,-122.42,69.01,3.36
Fotolia,Marketing,225000000,acquired,USA,NY,New York,2,KKR (Kohlberg Kravis Roberts & Co.):150000000|TA Associates:75000000,2,Adobe Systems,Creative|Design|Image Recognition|Photo Editing|Software,USA,CA,San Jose,800000000,USD,New York,2005,37.727239:-123.032229,1,US,1567267785,47,40.73,-73.99,80.01,7.31
AirWatch,Mobile,225000000,acquired,USA,GA,Atlanta,2,Accel:25000000|Insight Venture Partners:200000000,2,VMware,Software,USA,CA,Palo Alto,1540000000,USD,Fulton,2003,37.727239:-123.032229,1,US,1567267668,51,33.75,-84.39,86,3.36
moksha8 Pharmaceuticals,Technology,224071696,operating,USA,PA,Wayne,5,Forest Laboratories:125000000|TPG Biotech:39000000|Watson Pharmaceuticals:30000000,3,-,-,-,-,-,0,-,Delaware,2007,40.664274:-73.9385,90,US,1567267854,93,42.23,-97.02,61,5.82
Solexel,Technology,223920614,operating,USA,CA,Milpitas,7,"DAG Ventures:155660614.0|GAF:70000000|Gentry Venture Partners:136760000.0|GSV Capital:155660614.0|Kleiner Perkins Caufield & Byers:191420614.0|Northgate Capital:155660614.0|Oak Hill Capital Partners:10759800|Jasper Ridge Partners:101000000.0|Opus Bank:25000000|Spirox:101000000.0|SunPower Corporation:70000000|SunPower, Inc.:85660614.0|Technology Partners:191420614.0|Trinity Capital Investment:7500000",14,-,-,-,-,-,0,-,Santa Clara,2005,37.56031:-122.3106,1,US,1567267477,82,37.43,-121.91,70,0.56
Avalara,Finance,223625355,operating,USA,WA,Bainbridge Island,7,Arthur Ventures:30000000|Battery Ventures:76300000.0|Sageview Capital:56300000.0|Technology Crossover Ventures:42000000|Warburg Pincus:142000000.0,5,-,-,-,-,-,0,-,Kitsap,2004,37.494373:-121.941117,1,US,1567267678,87,47.63,-122.52,66.99,3.36
ZocDoc,Health,223000000,operating,USA,NY,New York,4,Atomico:130000000|Baillie Gifford:130000000|DST Global:75000000|Founders Fund:145000000.0|Goldman Sachs:75000000|Khosla Ventures:18000000.0|SV Angel:15000000|Vast Ventures:3000000|Jason Finger:3000000|Jeff Bezos:3000000|Marc Benioff:3000000,11,-,-,-,-,-,0,-,New York,2007,41.837551:-87.681844,1,US,1567267785,47,40.73,-73.99,80.01,7.31
Honest Co.,Finance,222000000,operating,USA,CA,Santa Monica,4,AllianceBernstein:100000000|Fidelity Management and Research Company:100000000|General Catalyst Partners:122000000.0|Glade Brook Capital Partners:100000000|Iconiq Capital:95000000.0|IVP:222000000.0|Lightspeed Venture Partners:122000000.0|Pritzker Group Venture Capital:25000000|Wellington Management:170000000.0,9,-,-,-,-,-,0,-,Los Angeles,2011,37.727239:-123.032229,1,US,1567267826,69,34.02,-118.49,78.01,3.58
Visto,Mobile,221400000,operating,USA,CA,Sunnyvale,6,3i Group:70000000|Allegis Capital:70000000|Altitude Capital Partners:35000000|Blueprint Ventures:51000000|ePlanet Capital:51000000|Draper Fisher Jurvetson (DFJ):121000000.0|GKM:51000000|Meritech Capital Partners:136000000.0|Oak Investment Partners:186400000.0|Rustic Canyon Partners:121000000.0|VantagePoint Capital Partners:120400000.0,11,-,-,-,-,-,0,-,Santa Clara,1996,40.009376:-75.133346,1,US,1567267839,82,37.37,-122.04,72,2.44
